stt,file_path,duration
462,D:\Video\689K_2.mp4,5:02
463,D:\Video\690GE sua lai.mp4,4:24
464,D:\Video\691G.mp4,5:11
466,D:\Video\693H.mp4,4:33
467,D:\Video\694K.mp4,4:58
469,D:\Video\696AHA Hào.mp4,4:46
468,D:\Video\695K Sơn.mp4,5:26
471,D:\Video\698H.mp4,4:54
470,D:\Video\697H.mp4,4:36
475,D:\Video\702AGE sua lai.mp4,4:49
474,D:\Video\701EK.mp4,5:59
472,D:\Video\699AK.mp4,5:38
473,D:\Video\700G.mp4,4:42
476,D:\Video\703EH.mp4,5:48
477,D:\Video\704AKC - Hiếu.mp4,5:29
479,D:\Video\706AGE sua lai.mp4,4:22
480,D:\Video\707EKC Hiếu .mp4,6:23
482,D:\Video\709G.mp4,4:03
478,D:\Video\705EH - Thuận đã sửa.mp4,5:22
481,D:\Video\708AKA Hào.mp4,5:03
483,D:\Video\710GE sua lai.mp4,4:18
484,D:\Video\711EGE sua lai.mp4,5:04
486,D:\Video\713EHC-Hiếu.mp4,5:04
485,D:\Video\712AGC-Hiếu.mp4,4:07
487,D:\Video\714AGE sua lai.mp4,4:21
488,D:\Video\715EGE sua lai.mp4,4:49
491,D:\Video\718AKE sua lai.mp4,5:26
489,D:\Video\716AKE sua lai.mp4,5:43
492,D:\Video\719EH.mp4,4:33
490,D:\Video\717EHA Thuận.mp4,3:58
493,D:\Video\720AHD_ .mp4,4:11
494,D:\Video\721EKE sua lai.mp4,4:58
496,D:\Video\723EGA Thuận.mp4,3:42
497,D:\Video\725EHD.mp4,3:42
495,D:\Video\722AHB.mp4,4:22
499,D:\Video\727EKD.mp4,5:09
500,D:\Video\728AKD.mp4,4:49
498,D:\Video\726AGD.mp4,4:39
501,D:\Video\729EG.mp4,3:33
502,D:\Video\730AGA Hào.mp4,4:25
504,D:\Video\732AHF.mp4,4:50
505,D:\Video\733EGD thoại .mp4,4:38
506,D:\Video\735EKE co thoai.mp4,5:27
507,D:\Video\736AHB.mp4,4:08
503,D:\Video\731EKA Thuận.mp4,4:05
509,D:\Video\738AGF.mp4,3:30
508,D:\Video\737EH.mp4,4:35
510,D:\Video\739EGE.mp4,4:26
511,D:\Video\740AGE co thoai.mp4,5:17
513,D:\Video\742AKD Thoai.mp4,4:42
514,D:\Video\743EHD.mp4,5:09
515,D:\Video\744AHF.mp4,4:42
516,D:\Video\745EKF.mp4,5:33
517,D:\Video\746AHD.mp4,5:57
512,D:\Video\741EKB.mp4,5:19
518,D:\Video\747EGF.mp4,3:21
519,D:\Video\748AGF.mp4,4:27
520,D:\Video\749EKE co thoai.mp4,4:29
522,D:\Video\751EKD thoai .mp4,6:54
524,D:\Video\753EHE.mp4,3:25
521,D:\Video\750AHB.mp4,4:28
523,D:\Video\752AGF.mp4,4:49
525,D:\Video\754AKE.mp4,6:16
526,D:\Video\755EKD.mp4,4:49
527,D:\Video\756AGD.mp4,4:50
528,D:\Video\757EHE.mp4,4:52
529,D:\Video\758AGB.mp4,3:31
531,D:\Video\760AGB.mp4,3:35
533,D:\Video\762AGF.mp4,4:32
530,D:\Video\759EHB.mp4,3:57
534,D:\Video\763EKD.mp4,4:37
532,D:\Video\761EKB.mp4,4:28
535,D:\Video\764AHE co thoai.mp4,4:34
536,D:\Video\765AGD.mp4,4:08
540,D:\Video\769EHD thoai .mp4,4:18
539,D:\Video\768AHE.mp4,4:01
541,D:\Video\770AGF.mp4,3:44
538,D:\Video\767EHE co thoai.mp4,3:20
537,D:\Video\766AHB.mp4,4:56
542,D:\Video\771EKD.mp4,6:44
543,D:\Video\772AGB.mp4,4:39
544,D:\Video\773EGE co thoai.mp4,5:51
546,D:\Video\775EHF.mp4,4:01
545,D:\Video\774AKE co thoai.mp4,6:25
549,D:\Video\778AGD.mp4,4:31
550,D:\Video\779EHF.mp4,3:18
547,D:\Video\776AKB.mp4,4:45
548,D:\Video\777EKB.mp4,5:00
551,D:\Video\780AHF.mp4,3:45
552,D:\Video\781EKD.mp4,4:19
553,D:\Video\782AKD.mp4,6:06
554,D:\Video\783EHB.mp4,3:45
556,D:\Video\785EHF.mp4,2:55
558,D:\Video\787EGF.mp4,3:52
555,D:\Video\784AKB.mp4,5:02
560,D:\Video\789EHE.mp4,4:55
559,D:\Video\788AHE.mp4,5:40
557,D:\Video\786AHE.mp4,4:56
563,D:\Video\797EGE co thoai.mp4,3:58
562,D:\Video\795EKD.mp4,5:29
561,D:\Video\791EHB.mp4,4:14
565,D:\Video\801AHF.mp4,3:39
567,D:\Video\804AGE.mp4,4:15
566,D:\Video\802AKF.mp4,3:10
564,D:\Video\800AKB.mp4,4:32
568,D:\Video\806AGE.mp4,5:08
569,D:\Video\808AHD.mp4,5:25
571,D:\Video\810AHD.mp4,3:55
570,D:\Video\809AKB.mp4,3:41
574,D:\Video\813ADD.mp4,5:00
573,D:\Video\812AHB.mp4,3:39
572,D:\Video\811AKB.mp4,4:01
575,D:\Video\814ADB.mp4,4:18
578,D:\Video\817AHD thoai .mp4,4:56
576,D:\Video\815AHB.mp4,3:20
577,D:\Video\816AKB.mp4,3:28
580,D:\Video\819AHF.mp4,3:52
581,D:\Video\820AHF.mp4,3:53
579,D:\Video\818AKD.mp4,4:34
582,D:\Video\821AHE.mp4,3:55
583,D:\Video\822AHD.mp4,4:16
585,D:\Video\824AHD.mp4,4:48
587,D:\Video\827AKD.mp4,4:44
588,D:\Video\828AKF.mp4,3:25
586,D:\Video\826ADF.mp4,3:31
584,D:\Video\823AHB.mp4,3:36
589,D:\Video\829AHB.mp4,2:51
590,D:\Video\830AHB.mp4,3:19
592,D:\Video\832AHF.mp4,3:25
591,D:\Video\831AHB.mp4,3:45
594,D:\Video\834AKD.mp4,3:47
595,D:\Video\835AHD.mp4,4:44
593,D:\Video\833AHB.mp4,3:59
596,D:\Video\836AHD.mp4,3:32
598,D:\Video\838ADF.mp4,3:41
597,D:\Video\837AKE.mp4,4:16
599,D:\Video\839ADD.mp4,3:35
600,D:\Video\840AHF.mp4,3:13
602,D:\Video\842YHF.mp4,2:36
603,D:\Video\843YHD.mp4,3:59
601,D:\Video\841YHB.mp4,3:31
604,D:\Video\844YHE.mp4,4:36
605,D:\Video\845YDB.mp4,3:47
607,D:\Video\847YHD.mp4,4:07
610,D:\Video\850YHD.mp4,4:45
611,D:\Video\851YHF.mp4,3:09
606,D:\Video\846YDB.mp4,2:54
609,D:\Video\849YDB.mp4,3:17
612,D:\Video\852HD.mp4,3:55
608,D:\Video\848HB.mp4,2:51
614,D:\Video\855HD.mp4,3:22
613,D:\Video\853HKE.mp4,4:03
616,D:\Video\858HD.mp4,3:58
617,D:\Video\859HD.mp4,4:31
619,D:\Video\861HD.mp4,4:11
615,D:\Video\857HB.mp4,3:24
620,D:\Video\867DB.mp4,3:06
618,D:\Video\860HB.mp4,2:28
621,D:\Video\872DKHBD.mp4,7:30
