stt,file_path,duration
401,E:\Rainbow Number\Video\310GB.mp4,6:15
402,E:\Number B\Video\310KCE.mp4,5:19
403,E:\Rainbow Number\Video\311BHG.mp4,3:40
404,E:\Rainbow Number\Video\311GB.mp4,4:38
406,E:\Rainbow Number\Video\312BHG.mp4,6:04
405,E:\Number B\Video\311KCE sua lai.mp4,5:46
408,E:\Number B\Video\312GCE.mp4,5:33
409,E:\Number B\Video\313GCE sua lai.mp4,5:50
407,E:\Rainbow Number\Video\312GB.mp4,6:34
410,E:\Rainbow Number\Video\313KB.mp4,6:54
413,E:\Rainbow Number\Video\315HC.mp4,3:47
411,E:\Number B\Video\314GCE sua lai.mp4,6:45
414,E:\Number B\Video\315KLG.mp4,5:22
416,E:\Number B\Video\316KLG.mp4,4:56
415,E:\Rainbow Number\Video\316HB.mp4,3:41
417,E:\Rainbow Number\Video\317HB.mp4,5:37
412,E:\Rainbow Number\Video\314HB.mp4,3:34
418,E:\Number B\Video\317KCG.mp4,5:21
420,E:\Number B\Video\318HCG.mp4,5:16
419,E:\Rainbow Number\Video\318HB.mp4,3:54
424,E:\Number B\Video\320HCE.mp4,5:22
421,E:\Rainbow Number\Video\319HB.mp4,3:52
422,E:\Number B\Video\319HCE sua lai.mp4,5:15
423,E:\Number TC\Video\31AF.mp4,4:54
425,E:\Rainbow Number\Video\320KB.mp4,5:11
426,E:\Number B\Video\321HCE.mp4,5:02
427,E:\Rainbow Number\Video\321KB.mp4,4:23
428,E:\Rainbow Number\Video\322KB.mp4,5:52
431,E:\Number B\Video\323KCE sua lai.mp4,4:58
429,E:\Number B\Video\322KCE.mp4,5:13
430,E:\Rainbow Number\Video\323KB.mp4,4:40
433,E:\Number B\Video\324KCE.mp4,5:45
432,E:\Rainbow Number\Video\324KB.mp4,4:36
434,E:\Number A\Video\325BHD.mp4,4:18
436,E:\Number B\Video\325KCE sua lai.mp4,5:21
438,E:\Rainbow Number\Video\326KE - 381A.mp4,5:57
441,E:\Number B\Video\328HCE_1.mp4,5:37
439,E:\Number B\Video\327HCE_1.mp4,5:00
437,E:\Number B\Video\326HCE sua lai.mp4,5:37
440,E:\Rainbow Number\Video\327KE - 371A.mp4,5:49
435,E:\Rainbow Number\Video\325KB.mp4,5:24
442,E:\Rainbow Number\Video\328KE - 362A.mp4,6:05
444,E:\Rainbow Number\Video\329KE - 363A.mp4,5:52
447,E:\Rainbow Number\Video\331GE - 377A.mp4,4:22
443,E:\Number B\Video\329HCA - Thuận đã sửa.mp4,3:52
445,E:\Rainbow Number\Video\330GE - 378A.mp4,4:20
449,E:\Rainbow Number\Video\332GE - 376A.mp4,5:18
448,E:\Number B\Video\331HBC_1.mp4,4:50
446,E:\Number B\Video\330HBA - Thuận đã sửa.mp4,4:24
450,E:\Number B\Video\332HBC.mp4,4:11
452,E:\Number B\Video\333HBE.mp4,3:58
451,E:\Rainbow Number\Video\333GE - 375A.mp4,4:27
454,E:\Number B\Video\334HBC-Hiếu.mp4,4:14
453,E:\Rainbow Number\Video\334GE - 346A.mp4,4:57
455,E:\Rainbow Number\Video\335HE - 364A.mp4,8:15
456,E:\Number B\Video\336GBA Hào.mp4,4:04
457,E:\Rainbow Number\Video\336HE - 365A.mp4,6:00
458,E:\Number B\Video\337 GBC.mp4,4:40
460,E:\Number B\Video\338GBC.mp4,4:41
459,E:\Rainbow Number\Video\337HE - 345A sua lai.mp4,4:57
462,E:\Number B\Video\339GBC.mp4,4:33
461,E:\Rainbow Number\Video\338HE - 325A.mp4,3:50
463,E:\Rainbow Number\Video\339KE - 400A sua lai.mp4,5:59
466,E:\Rainbow Number\Video\340KE - 401A.mp4,5:37
465,E:\Number B\Video\340GBC-Hiếu.mp4,5:31
464,E:\Number A\Video\340BGC.mp4,3:34
467,E:\Number A\Video\341BGC.mp4,4:03
468,E:\Rainbow Number\Video\341HE - 329A.mp4,3:27
469,E:\Number B\Video\341KBE.mp4,4:02
470,E:\Number A\Video\342BGB.mp4,4:06
472,E:\Number SLime\Video\342HCD.mp4,4:51
471,E:\Rainbow Number\Video\342HC.mp4,6:01
473,E:\Number B\Video\342KLE.mp4,6:26
475,E:\Rainbow Number\Video\343GE - 389A.mp4,5:00
474,E:\Number A\Video\343BGB.mp4,3:53
477,E:\Number A\Video\344BHD.mp4,3:08
476,E:\Number B\Video\343KLE.mp4,7:04
478,E:\Rainbow Number\Video\344GE - 390A.mp4,5:02
480,E:\Number A\Video\345HAD.mp4,4:04
479,E:\Number B\Video\344KCE.mp4,5:06
481,E:\Rainbow Number\Video\345KC-Hiếu.mp4,6:24
483,E:\Number A\Video\346GAD.mp4,4:37
482,E:\Number B\Video\345KCE.mp4,4:35
484,E:\Rainbow Number\Video\346KC-Hiếu_.mp4,5:52
485,E:\Number B\Video\346KCD.mp4,5:02
487,E:\Rainbow Number\Video\347HC-Hiếu.mp4,3:39
488,E:\Number B\Video\347KCC-Hiếu.mp4,5:35
486,E:\Number A\Video\347GLD.mp4,5:46
489,E:\Number A\Video\348GLA.mp4,6:27
491,E:\Rainbow Number\Video\348HC-Hiếu.mp4,7:36
490,E:\Number SLime\Video\348HBD.mp4,3:59
492,E:\Number B\Video\348KCC-Hiếu.mp4,6:07
493,E:\Rainbow Number\Video\349GC.mp4,5:43
495,E:\Number B\Video\349KCC-Hiếu.mp4,6:28
494,E:\Number A\Video\349GLA.mp4,7:04
498,E:\Rainbow Number\Video\350GC-Hiếu.mp4,4:35
497,E:\Number B\Video\34BFA.mp4,7:22
496,E:\Number TC\Video\34ACG.mp4,8:09
499,E:\Number A\Video\350HLA.mp4,5:35
500,E:\Number B\Video\350KCD.mp4,6:13
501,E:\Rainbow Number\Video\351GC-Hiếu.mp4,4:29
502,E:\Number A\Video\351HLA.mp4,6:33
503,E:\Number B\Video\351KCD.mp4,6:42
504,E:\Rainbow Number\Video\352GC-Hiếu.mp4,4:35
505,E:\Number A\Video\352GLC.mp4,6:40
506,E:\Number B\Video\352KCF.mp4,5:35
507,E:\Number A\Video\353GLC.mp4,6:33
508,E:\Rainbow Number\Video\353KC-Hiếu.mp4,5:51
509,E:\Number B\Video\353KCF.mp4,4:54
510,E:\Number B\Video\354HCA Hào.mp4,5:52
511,E:\Number A\Video\354HLC.mp4,7:43
512,E:\Rainbow Number\Video\354KC-Hiếu.mp4,5:19
515,E:\Number A\Video\355HLD.mp4,6:04
513,E:\Rainbow Number\Video\355HC-Hiếu.mp4,3:40
516,E:\Number A\Video\356GLA.mp4,6:58
514,E:\Number B\Video\355HCA Hào.mp4,5:44
517,E:\Rainbow Number\Video\356HE - 366A.mp4,5:23
519,E:\Number A\Video\357GLA.mp4,6:40
518,E:\Number B\Video\356HLE.mp4,5:37
523,E:\Rainbow Number\Video\358HE - 300A.mp4,3:26
521,E:\Number B\Video\357HLE sua lai.mp4,6:08
520,E:\Rainbow Number\Video\357HE - 299A.mp4,4:09
522,E:\Number A\Video\358GLA.mp4,4:44
