path,error,duration,bit_rate,frame_rate,resolution,format,format_profile,codec,scan_type,bit_depth,chroma_subsampling,aspect_ratio,video_size_MB,audio_codec,audio_bitrate,audio_sampling_rate,channels
E:\HP Mini (Tractor 1)\ĐÃ UP\393GA\393GA mini1-1.mp4,,3 min 45 s,90.2 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,2.37 GiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\487HD\V487HD.mp4,,3 min 54 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,447 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\507HD\V507HD.mp4,,5 min 36 s,15.9 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,638 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\ĐÃ UP\F388C\F388C.mp4,,5 min 47 s,52.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,2.11 GiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\603KD\V603KD.mp4,,5 min 16 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,604 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\B\Đã up\86BHC\86BHC.mp4,,5 min 31 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,635 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\Number Slime\ĐÃ UP\107FLC\107HLC.mp4,File không tồn tại,,,,,,,,,,,,,,,,
E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\484HD\484HD_11.mp4,,4 min 41 s,15.3 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,513 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
I:\SEO 2\SEO - TRACTOR 1\ĐÃ UP\V56\V56.mp4,File không tồn tại,,,,,,,,,,,,,,,,
I:\SEO 2\SEO - TRACTOR 1\ĐÃ UP\V259\259.mp4,File không tồn tại,,,,,,,,,,,,,,,,
E:\HP Mini (Tractor 1)\ĐÃ UP\C435A\C435A mini1.mp4,,3 min 59 s,89.9 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,2.51 GiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\B\Đã up\60BHA\60BHA.mp4,,6 min 13 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,714 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\663KD\663KD.mp4,,6 min 34 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,756 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\ĐÃ UP\460GA\460GA mini1.mp4,,3 min 29 s,88.5 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,2.16 GiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Rainbow Number\303KE\303KE - 356A.mp4,,6 min 6 s,21.2 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,926 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number A 2.0\424HC\424HCE.mp4,,4 min 56 s,16.2 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,572 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
